sweep_index,timestamp_start,elapsed_s,f_min_Hz,s21_min_dB,filename,power_dBm,f_min_GHz,time_s,time_relative_s
469,2026-05-21T22:10:31,43.24622058868408,5607836030.0345,-31.9371528625,20260521_221031_sweep0469_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,20146.820330619812,20103.962985754013
473,2026-05-21T22:13:30,42.73208475112915,5607836030.0345,-31.9602451324,20260521_221330_sweep0473_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,20318.217861652374,20275.360516786575
477,2026-05-21T22:16:28,42.74869894981384,5607836030.0345,-31.9445552826,20260521_221628_sweep0477_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,20489.030521154404,20446.173176288605
481,2026-05-21T22:19:27,43.18189072608948,5607836030.0345,-31.9010276794,20260521_221927_sweep0481_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,20660.844519376755,20617.987174510956
485,2026-05-21T22:22:25,42.689425230026245,5607836030.0345,-31.9157943726,20260521_222225_sweep0485_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,20831.653424263,20788.7960793972
489,2026-05-21T22:25:26,42.7398202419281,5607836030.0345,-31.9241504669,20260521_222526_sweep0489_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,21003.118577718735,20960.261232852936
493,2026-05-21T22:28:25,43.1512131690979,5607836030.0345,-31.915802002,20260521_222825_sweep0493_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,21174.85832309723,21132.00097823143
497,2026-05-21T22:31:24,43.247923374176025,5607836030.0345,-31.9163074493,20260521_223124_sweep0497_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,21346.800835609436,21303.943490743637
501,2026-05-21T22:34:23,42.68005704879761,5607836030.0345,-31.9102745056,20260521_223423_sweep0501_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,21517.599956274033,21474.742611408234
505,2026-05-21T22:37:21,42.77083039283752,5607836030.0345,-31.9123001099,20260521_223721_sweep0505_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,21689.147278785706,21646.289933919907
509,2026-05-21T22:40:20,42.80007338523865,5607836030.0345,-31.9322338104,20260521_224020_sweep0509_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,21860.19728088379,21817.33993601799
513,2026-05-21T22:43:19,42.79637026786804,5607836030.0345,-31.9004821777,20260521_224319_sweep0513_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,22032.237063646317,21989.379718780518
517,2026-05-21T22:46:17,42.74553561210632,5607836030.0345,-31.9040279388,20260521_224617_sweep0517_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,22203.193014860153,22160.335669994354
521,2026-05-21T22:49:16,42.75584697723389,5607836030.0345,-31.89727211,20260521_224916_sweep0521_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,22374.19643998146,22331.33909511566
525,2026-05-21T22:52:14,42.81854200363159,5607836030.0345,-31.8877830505,20260521_225214_sweep0525_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,22545.38085412979,22502.523509263992
529,2026-05-21T22:55:13,42.77350664138794,5607836030.0345,-31.8712234497,20260521_225513_sweep0529_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,22716.502863645554,22673.645518779755
533,2026-05-21T22:58:11,42.74750208854675,5607836030.0345,-31.856672287,20260521_225811_sweep0533_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,22887.572518587112,22844.715173721313
537,2026-05-21T23:01:09,42.82078170776367,5607836030.0345,-31.877866745,20260521_230109_sweep0537_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,23058.793105363846,23015.935760498047
541,2026-05-21T23:04:08,42.8143196105957,5607836030.0345,-31.8949146271,20260521_230408_sweep0541_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,23230.08238005638,23187.225035190582
545,2026-05-21T23:07:06,42.77826714515686,5607836030.0345,-31.8765487671,20260521_230706_sweep0545_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,23401.21624803543,23358.358903169632
549,2026-05-21T23:10:05,42.823049783706665,5607836030.0345,-31.8660545349,20260521_231005_sweep0549_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,23572.302409410477,23529.445064544678
553,2026-05-21T23:13:03,42.75106477737427,5607836030.0345,-31.8903446198,20260521_231303_sweep0553_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,23743.402412891388,23700.54506802559
557,2026-05-21T23:16:02,42.83545446395874,5607836030.0345,-31.8908023834,20260521_231602_sweep0557_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,23914.70115685463,23871.84381198883
561,2026-05-21T23:19:00,42.77271628379822,5607836030.0345,-31.8542060852,20260521_231900_sweep0561_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,24085.828236579895,24042.970891714096
565,2026-05-21T23:21:59,42.8138382434845,5607836030.0345,-31.8803653717,20260521_232159_sweep0565_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,24257.05039381981,24214.19304895401
569,2026-05-21T23:24:57,42.76650238037109,5607836030.0345,-31.8982524872,20260521_232457_sweep0569_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,24428.225269317627,24385.367924451828
573,2026-05-21T23:27:56,42.81540155410767,5607836030.0345,-31.8852443695,20260521_232756_sweep0573_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,24599.49650502205,24556.63916015625
577,2026-05-21T23:30:54,42.80765700340271,5607836030.0345,-31.8782958984,20260521_233054_sweep0577_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,24770.70931506157,24727.85197019577
581,2026-05-21T23:33:53,42.68156671524048,5607836030.0345,-31.8784389496,20260521_233353_sweep0581_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,24941.638910770416,24898.781565904617
585,2026-05-21T23:36:51,42.6904525756836,5607836030.0345,-31.8943099976,20260521_233651_sweep0585_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,25112.99465417862,25070.13730931282
589,2026-05-21T23:39:52,42.739707231521606,5607836030.0345,-31.8673763275,20260521_233952_sweep0589_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,25283.96924471855,25241.111899852753
593,2026-05-21T23:42:50,42.79640483856201,5607836030.0345,-31.860376358,20260521_234250_sweep0593_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,25455.20365166664,25412.346306800842
597,2026-05-21T23:45:49,42.78741383552551,5607836317.961746,-31.870716095,20260521_234549_sweep0597_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,25626.350764274597,25583.4934194088
601,2026-05-21T23:48:47,42.74043369293213,5607836317.961746,-31.8783073425,20260521_234847_sweep0601_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,25797.448130846024,25754.590785980225
605,2026-05-21T23:51:46,42.83725357055664,5607836030.0345,-31.8428478241,20260521_235146_sweep0605_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,25968.66893005371,25925.811585187912
609,2026-05-21T23:54:45,42.868942975997925,5607836317.961746,-31.8673267365,20260521_235445_sweep0609_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,26140.105870246887,26097.24852538109
613,2026-05-21T23:57:44,42.819774866104126,5607836317.961746,-31.8751010895,20260521_235744_sweep0613_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,26311.48853111267,26268.631186246872
617,2026-05-22T00:00:43,42.82287883758545,5607836030.0345,-31.8469009399,20260522_000043_sweep0617_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,26482.867193698883,26440.009848833084
621,2026-05-22T00:03:41,42.81823754310608,5607836317.961746,-31.8607177734,20260522_000341_sweep0621_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,26654.11030292511,26611.25295805931
625,2026-05-22T00:06:40,42.81035017967224,5607836317.961746,-31.8428459167,20260522_000640_sweep0625_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,26825.33516216278,26782.47781729698
629,2026-05-22T00:09:38,42.81356167793274,5607836317.961746,-31.85587883,20260522_000938_sweep0629_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,26996.567292690277,26953.709947824478
633,2026-05-22T00:12:37,42.86796593666077,5607836030.0345,-31.8691520691,20260522_001237_sweep0633_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078360300345,27167.94482111931,27125.08747625351
637,2026-05-22T00:15:36,42.82759356498718,5607836317.961746,-31.8849506378,20260522_001536_sweep0637_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,27339.33406829834,27296.47672343254
641,2026-05-22T00:18:35,42.81771755218506,5607836317.961746,-31.9028167725,20260522_001835_sweep0641_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,27510.619509458542,27467.762164592743
645,2026-05-22T00:21:33,42.81179428100586,5607836317.961746,-31.8916778564,20260522_002133_sweep0645_5p607840GHz_-20p0dBm_200avgs_201points,-20,5.6078363179617465,27681.85751891136,27639.000174045563
