sweep_index,timestamp_start,elapsed_s,f_min_Hz,s21_min_dB,filename,power_dBm,f_min_GHz,time_s,time_relative_s
471,2026-05-21T22:12:00,43.20066952705383,5607837391.760651,-24.5972499847,20260521_221200_sweep0471_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078373917606505,20232.739939928055,20104.242172718048
475,2026-05-21T22:14:59,42.67462420463562,5607838961.389669,-24.4974479675,20260521_221459_sweep0475_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607838961389669,20403.601632595062,20275.103865385056
479,2026-05-21T22:17:57,42.7049252986908,5607838845.513319,-24.7538490295,20260521_221757_sweep0479_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607838845513319,20574.470312833786,20445.97254562378
483,2026-05-21T22:20:56,42.67737698554993,5607835732.5314245,-24.6783351898,20260521_222056_sweep0483_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078357325314245,20746.231948375702,20617.734181165695
487,2026-05-21T22:23:55,43.25648045539856,5607834059.94303,-23.9475536346,20260521_222355_sweep0487_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078340599430305,20917.653327703476,20789.15556049347
491,2026-05-21T22:26:55,42.68475008010864,5607837263.319885,-24.5529193878,20260521_222655_sweep0491_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607837263319885,21089.001000404358,20960.50323319435
495,2026-05-21T22:29:54,42.71688199043274,5607836868.818117,-24.5499038696,20260521_222954_sweep0495_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607836868818117,21260.28266787529,21131.784900665283
499,2026-05-21T22:32:53,42.75231242179871,5607836597.2672,-24.5175914764,20260521_223253_sweep0499_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607836597267201,21432.234966039658,21303.73719882965
503,2026-05-21T22:35:52,42.777405977249146,5607836597.2672,-24.5404663086,20260521_223552_sweep0503_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607836597267201,21603.596778154373,21475.099010944366
507,2026-05-21T22:38:50,42.71128988265991,5607837391.760651,-24.6102924347,20260521_223850_sweep0507_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078373917606505,21774.612952947617,21646.11518573761
511,2026-05-21T22:41:49,42.75278878211975,5607836030.0345,-24.5772132874,20260521_224149_sweep0511_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078360300345,21946.168083906174,21817.670316696167
515,2026-05-21T22:44:48,42.73765802383423,5607837391.760651,-24.5625667572,20260521_224448_sweep0515_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078373917606505,22117.721954107285,21989.224186897278
