sweep_index,timestamp_start,elapsed_s,f_min_Hz,s21_min_dB,filename,power_dBm,f_min_GHz,time_s,time_relative_s
470,2026-05-21T22:11:16,42.718939781188965,5607837133.406782,-28.86353302,20260521_221116_sweep0470_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,20189.539270401,20103.862775802612
474,2026-05-21T22:14:15,42.70914673805237,5607837133.406782,-28.7572307587,20260521_221415_sweep0474_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,20360.927008390427,20275.250513792038
478,2026-05-21T22:17:13,42.73486638069153,5607836868.818117,-29.0542640686,20260521_221713_sweep0478_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,20531.765387535095,20446.088892936707
482,2026-05-21T22:20:12,42.71005201339722,5607837133.406782,-28.7755832672,20260521_222012_sweep0482_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,20703.554571390152,20617.878076791763
486,2026-05-21T22:23:10,42.7434229850769,5607836317.961746,-29.0057792664,20260521_222310_sweep0486_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078363179617465,20874.396847248077,20788.72035264969
490,2026-05-21T22:26:10,43.197672605514526,5607836868.818117,-29.0181255341,20260521_222610_sweep0490_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,21046.31625032425,20960.63975572586
494,2026-05-21T22:29:10,42.707462787628174,5607837133.406782,-29.0246696472,20260521_222910_sweep0494_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,21217.565785884857,21131.88929128647
498,2026-05-21T22:32:09,42.68181800842285,5607836868.818117,-28.9987716675,20260521_223209_sweep0498_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,21389.48265361786,21303.80615901947
502,2026-05-21T22:35:07,43.21941590309143,5607836868.818117,-28.6042613983,20260521_223507_sweep0502_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,21560.819372177124,21475.142877578735
506,2026-05-21T22:38:06,42.7543842792511,5607836597.2672,-28.960269928,20260521_223806_sweep0506_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,21731.901663064957,21646.225168466568
510,2026-05-21T22:41:04,43.21801424026489,5607836597.2672,-28.789981842,20260521_224104_sweep0510_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,21903.415295124054,21817.738800525665
514,2026-05-21T22:44:04,42.74723243713379,5607836597.2672,-29.1368637085,20260521_224404_sweep0514_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,22074.98429608345,21989.30780148506
518,2026-05-21T22:47:02,42.776076793670654,5607836868.818117,-29.185382843,20260521_224702_sweep0518_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,22245.969091653824,22160.292597055435
522,2026-05-21T22:50:00,42.81434655189514,5607836030.0345,-28.7212810516,20260521_225000_sweep0522_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078360300345,22417.010786533356,22331.334291934967
526,2026-05-21T22:52:59,42.79972743988037,5607836597.2672,-29.0334815979,20260521_225259_sweep0526_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,22588.18058156967,22502.504086971283
530,2026-05-21T22:55:57,42.77272582054138,5607836597.2672,-29.0271129608,20260521_225557_sweep0530_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,22759.275589466095,22673.599094867706
534,2026-05-21T22:58:56,42.777559995651245,5607836317.961746,-28.8312568665,20260521_225856_sweep0534_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078363179617465,22930.350078582764,22844.673583984375
538,2026-05-21T23:01:54,42.82412338256836,5607835424.397883,-29.0190982819,20260521_230154_sweep0538_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607835424397884,23101.617228746414,23015.940734148026
542,2026-05-21T23:04:53,42.7642080783844,5607835104.462348,-29.0476703644,20260521_230453_sweep0542_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607835104462348,23272.846588134766,23187.170093536377
546,2026-05-21T23:07:51,42.74800062179565,5607835732.5314245,-29.0053215027,20260521_230751_sweep0546_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078357325314245,23443.964248657227,23358.287754058838
550,2026-05-21T23:10:49,42.76726675033569,5607835732.5314245,-28.7336444855,20260521_231049_sweep0550_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078357325314245,23615.069676160812,23529.393181562424
554,2026-05-21T23:13:48,42.83590316772461,5607836317.961746,-29.049074173,20260521_231348_sweep0554_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078363179617465,23786.238316059113,23700.561821460724
558,2026-05-21T23:16:46,42.791645765304565,5607836317.961746,-28.973903656,20260521_231646_sweep0558_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078363179617465,23957.492802619934,23871.816308021545
562,2026-05-21T23:19:45,42.835864305496216,5607836030.0345,-28.6459960938,20260521_231945_sweep0562_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078360300345,24128.66410088539,24042.987606287003
566,2026-05-21T23:22:43,42.8699164390564,5607836317.961746,-28.7321949005,20260521_232243_sweep0566_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078363179617465,24299.920310258865,24214.243815660477
570,2026-05-21T23:25:42,42.83055377006531,5607836597.2672,-29.1104602814,20260521_232542_sweep0570_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,24471.055823087692,24385.379328489304
574,2026-05-21T23:28:40,42.78528928756714,5607837133.406782,-29.1584682465,20260521_232840_sweep0574_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,24642.281794309616,24556.605299711227
578,2026-05-21T23:31:39,42.76813364028931,5607836868.818117,-29.1883640289,20260521_233139_sweep0578_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,24813.47744870186,24727.80095410347
582,2026-05-21T23:34:37,42.738160848617554,5607836868.818117,-29.1449794769,20260521_233437_sweep0582_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,24984.377071619034,24898.700577020645
586,2026-05-21T23:37:36,42.74192833900452,5607837133.406782,-29.2496318817,20260521_233736_sweep0586_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,25155.736582517624,25070.060087919235
590,2026-05-21T23:40:36,42.82855224609375,5607836868.818117,-29.2211399078,20260521_234036_sweep0590_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,25326.797796964645,25241.121302366257
594,2026-05-21T23:43:35,42.79000449180603,5607837133.406782,-29.2663230896,20260521_234335_sweep0594_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,25497.993656158447,25412.31716156006
598,2026-05-21T23:46:34,42.78739929199219,5607837133.406782,-29.0004653931,20260521_234634_sweep0598_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,25669.13816356659,25583.4616689682
602,2026-05-21T23:49:32,42.71976065635681,5607837391.760651,-28.9598903656,20260521_234932_sweep0602_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,25840.16789150238,25754.49139690399
606,2026-05-21T23:52:31,42.84495544433594,5607836868.818117,-28.9141616821,20260521_235231_sweep0606_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,26011.513885498047,25925.83739089966
610,2026-05-21T23:55:30,42.850648164749146,5607836868.818117,-29.2164287567,20260521_235530_sweep0610_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,26182.956518411636,26097.280023813248
614,2026-05-21T23:58:29,42.86012649536133,5607836597.2672,-28.9690113068,20260521_235829_sweep0614_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,26354.348657608032,26268.672163009644
618,2026-05-22T00:01:27,42.83572483062744,5607836868.818117,-28.9448604584,20260522_000127_sweep0618_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,26525.70291852951,26440.026423931122
622,2026-05-22T00:04:26,42.82426071166992,5607836597.2672,-28.9811973572,20260522_000426_sweep0622_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,26696.93456363678,26611.25806903839
626,2026-05-22T00:07:25,42.78876042366028,5607837133.406782,-29.181016922,20260522_000725_sweep0626_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,26868.12392258644,26782.447427988052
630,2026-05-22T00:10:23,42.8155255317688,5607836868.818117,-29.1087913513,20260522_001023_sweep0630_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,27039.382818222046,26953.706323623657
634,2026-05-22T00:13:22,42.85871720314026,5607837133.406782,-29.280002594,20260522_001322_sweep0634_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,27210.80353832245,27125.12704372406
638,2026-05-22T00:16:21,42.81786251068115,5607837391.760651,-29.3377685547,20260522_001621_sweep0638_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,27382.15193080902,27296.475436210632
642,2026-05-22T00:19:19,42.80707287788391,5607837133.406782,-29.0709877014,20260522_001919_sweep0642_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,27553.426582336426,27467.750087738037
646,2026-05-22T00:22:18,42.80093240737915,5607836868.818117,-29.0655345917,20260522_002218_sweep0646_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,27724.65845131874,27638.981956720352
650,2026-05-22T00:25:17,42.82866668701172,5607837391.760651,-29.1862926483,20260522_002517_sweep0650_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,27896.116733312607,27810.440238714218
654,2026-05-22T00:28:15,42.89595127105713,5607836868.818117,-29.2360076904,20260522_002815_sweep0654_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,28067.48987364769,27981.8133790493
658,2026-05-22T00:31:14,42.81390404701233,5607837133.406782,-29.2985115051,20260522_003114_sweep0658_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,28238.77663564682,28153.10014104843
662,2026-05-22T00:34:13,42.82754278182984,5607837133.406782,-28.9585113525,20260522_003413_sweep0662_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,28410.113930225372,28324.437435626984
666,2026-05-22T00:37:12,42.83380818367005,5607837133.406782,-29.3538398743,20260522_003712_sweep0666_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,28581.44564819336,28495.76915359497
670,2026-05-22T00:40:10,42.85657215118408,5607835732.5314245,-28.8856868744,20260522_004010_sweep0670_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078357325314245,28752.794261217117,28667.11776661873
674,2026-05-22T00:43:09,42.88287901878357,5607836597.2672,-28.6578998566,20260522_004309_sweep0674_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836597267201,28924.17266225815,28838.49616765976
678,2026-05-22T00:46:08,42.87256717681885,5607836868.818117,-28.9899635315,20260522_004608_sweep0678_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,29095.659192800522,29009.982698202133
682,2026-05-22T00:49:06,42.88876223564148,5607836030.0345,-29.0509719849,20260522_004906_sweep0682_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078360300345,29266.99129462242,29181.314800024033
686,2026-05-22T00:52:05,42.86262226104736,5607837391.760651,-29.1303977966,20260522_005205_sweep0686_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,29438.49175429344,29352.815259695053
690,2026-05-22T00:55:04,42.884801149368286,5607837133.406782,-28.9716815948,20260522_005504_sweep0690_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,29610.00486111641,29524.32836651802
694,2026-05-22T00:58:03,42.86261010169983,5607837391.760651,-28.7562541962,20260522_005803_sweep0694_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,29781.539375543594,29695.862880945206
698,2026-05-22T01:01:02,42.84621787071228,5607837644.551109,-29.0363559723,20260522_010102_sweep0698_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607837644551109,29953.041863441467,29867.36536884308
702,2026-05-22T01:04:01,42.93389129638672,5607837391.760651,-29.0240383148,20260522_010401_sweep0702_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,30124.662724256516,30038.986229658127
706,2026-05-22T01:07:00,42.87280035018921,5607836030.0345,-29.0334701538,20260522_010700_sweep0706_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078360300345,30296.166207790375,30210.489713191986
710,2026-05-22T01:10:01,42.8856372833252,5607837133.406782,-29.1944713593,20260522_011001_sweep0710_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,30467.708123922348,30382.03162932396
714,2026-05-22T01:13:00,42.90636587142944,5607836868.818117,-29.1752128601,20260522_011300_sweep0714_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,30639.33675289154,30553.660258293152
718,2026-05-22T01:15:59,42.91251039505005,5607837391.760651,-29.197177887,20260522_011559_sweep0718_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,30810.84590792656,30725.16941332817
722,2026-05-22T01:18:58,42.9471070766449,5607836868.818117,-29.1519508362,20260522_011858_sweep0722_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,30982.58229970932,30896.90580511093
726,2026-05-22T01:21:57,42.947423458099365,5607837391.760651,-29.1396636963,20260522_012157_sweep0726_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,31154.258298635483,31068.581804037094
730,2026-05-22T01:24:56,42.948440074920654,5607837391.760651,-29.0608921051,20260522_012456_sweep0730_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,31326.05376625061,31240.37727165222
734,2026-05-22T01:27:55,42.90939092636109,5607836868.818117,-29.0782852173,20260522_012755_sweep0734_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,31497.77729344368,31412.10079884529
738,2026-05-22T01:30:55,42.897133111953735,5607837391.760651,-29.0338153839,20260522_013055_sweep0738_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,31669.420954465866,31583.744459867477
742,2026-05-22T01:33:53,42.89093065261841,5607837391.760651,-28.974407196,20260522_013353_sweep0742_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,31840.989656686783,31755.313162088394
746,2026-05-22T01:36:52,42.86393594741821,5607837133.406782,-29.1822814941,20260522_013652_sweep0746_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,32012.567250728607,31926.89075613022
750,2026-05-22T01:39:51,42.89746260643005,5607837133.406782,-29.0378265381,20260522_013951_sweep0750_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,32184.16796684265,32098.491472244263
754,2026-05-22T01:42:50,43.023634910583496,5607837133.406782,-29.0497188568,20260522_014250_sweep0754_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078371334067825,32356.026044368744,32270.349549770355
758,2026-05-22T01:45:49,42.93622660636902,5607837644.551109,-28.9745941162,20260522_014549_sweep0758_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607837644551109,32527.76876592636,32442.092271327972
762,2026-05-22T01:48:49,42.88985061645508,5607837391.760651,-29.0718898773,20260522_014849_sweep0762_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,32699.483258008957,32613.80676341057
766,2026-05-22T01:51:48,42.90266299247742,5607837892.40111,-28.9016685486,20260522_015148_sweep0766_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607837892401109,32871.02613186836,32785.349637269974
770,2026-05-22T01:54:47,42.97984504699707,5607837391.760651,-28.8317775726,20260522_015447_sweep0770_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,33042.786568164825,32957.11007356644
774,2026-05-22T01:57:46,42.96528458595276,5607837391.760651,-28.8850269318,20260522_015746_sweep0774_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,33214.59458088875,33128.91808629036
778,2026-05-22T02:00:45,42.933387756347656,5607837892.40111,-28.9057350159,20260522_020045_sweep0778_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607837892401109,33386.41213178635,33300.73563718796
