sweep_index,timestamp_start,elapsed_s,f_min_Hz,s21_min_dB,filename,power_dBm,f_min_GHz,time_s
4,2026-05-21T16:23:25,42.81688213348389,5607839760.774392,-36.4270439148,20260521_162325_sweep0004_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607839760774392,171.3146493434906
8,2026-05-21T16:26:23,42.83328604698181,5607839076.737101,-34.3143310547,20260521_162623_sweep0008_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078390767371005,342.6123375892639
12,2026-05-21T16:29:22,42.88845944404602,5607839986.99326,-36.9688949585,20260521_162922_sweep0012_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607839986993261,513.9575927257538
16,2026-05-21T16:32:20,42.8127338886261,5607841588.053796,-40.7698898315,20260521_163220_sweep0016_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078415880537955,685.269632101059
20,2026-05-21T16:35:19,42.853055477142334,5607840779.842008,-32.3304100037,20260521_163519_sweep0020_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607840779842007,856.6596019268036
24,2026-05-21T16:38:18,42.805288314819336,5607841354.486681,-34.6887588501,20260521_163818_sweep0024_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607841354486681,1027.9558515548706
28,2026-05-21T16:41:17,42.83538627624512,5607840666.062137,-33.7638893127,20260521_164117_sweep0028_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078406660621365,1199.271628856659
32,2026-05-21T16:44:15,42.85071682929993,5607839306.066891,-38.8122291565,20260521_164415_sweep0032_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.60783930606689,1370.6361281871796
36,2026-05-21T16:47:14,42.88050150871277,5607839306.066891,-34.7488136292,20260521_164714_sweep0036_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.60783930606689,1542.1192507743835
40,2026-05-21T16:50:13,42.8256905078888,5607840666.062137,-38.9328269958,20260521_165013_sweep0040_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078406660621365,1713.4723541736603
44,2026-05-21T16:53:11,42.88036394119263,5607839986.99326,-35.0236549377,20260521_165311_sweep0044_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607839986993261,1884.8690893650055
48,2026-05-21T16:56:10,42.87750959396362,5607839986.99326,-33.5129013062,20260521_165610_sweep0048_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607839986993261,2056.279411792755
52,2026-05-21T16:59:09,42.8301465511322,5607838961.389669,-30.5459823608,20260521_165909_sweep0052_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838961389669,2227.6085317134857
56,2026-05-21T17:02:08,42.8595929145813,5607838845.513319,-36.1871528625,20260521_170208_sweep0056_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838845513319,2398.939047574997
60,2026-05-21T17:05:06,42.82525181770325,5607839306.066891,-38.1598701477,20260521_170506_sweep0060_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.60783930606689,2570.267303466797
64,2026-05-21T17:08:05,42.8518328666687,5607840100.0,-35.6514320374,20260521_170805_sweep0064_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078401,2741.6468064785004
68,2026-05-21T17:11:04,42.82128620147705,5607840552.540757,-35.8394470215,20260521_171104_sweep0068_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078405525407575,2913.008237361908
72,2026-05-21T17:14:02,42.84189462661743,5607840779.842008,-34.0767288208,20260521_171402_sweep0072_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607840779842007,3084.337644100189
76,2026-05-21T17:17:01,42.8281729221344,5607838611.946204,-32.8865661621,20260521_171701_sweep0076_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838611946204,3255.6570451259613
80,2026-05-21T17:19:59,42.88767743110657,5607839873.935197,-42.6197357178,20260521_171959_sweep0080_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078398739351965,3427.0339136123657
84,2026-05-21T17:22:58,42.870668172836304,5607839873.935197,-40.244430542,20260521_172258_sweep0084_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078398739351965,3598.4371263980865
88,2026-05-21T17:25:57,42.82871627807617,5607840666.062137,-33.6054039001,20260521_172557_sweep0088_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078406660621365,3769.764463186264
92,2026-05-21T17:28:55,42.84460067749024,5607838845.513319,-31.4962882996,20260521_172855_sweep0092_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838845513319,3941.2104330062866
96,2026-05-21T17:31:54,42.87084460258484,5607837001.935855,-31.491312027,20260521_173154_sweep0096_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837001935855,4112.6225209236145
100,2026-05-21T17:34:53,42.82470440864563,5607839760.774392,-32.4225616455,20260521_173453_sweep0100_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607839760774392,4283.937740802765
104,2026-05-21T17:37:52,42.82262325286865,5607839306.066891,-33.5597839355,20260521_173752_sweep0104_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.60783930606689,4455.304775714874
108,2026-05-21T17:40:50,42.865678787231445,5607836175.133289,-34.9709434509,20260521_174050_sweep0108_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836175133289,4626.721234560013
112,2026-05-21T17:43:49,42.8503303527832,5607838729.051413,-32.1339530945,20260521_174349_sweep0112_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838729051412,4798.178311109543
116,2026-05-21T17:46:48,42.8727912902832,5607839533.937863,-34.2526702881,20260521_174648_sweep0116_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607839533937863,4969.62558054924
120,2026-05-21T17:49:47,42.84059715270996,5607837391.760651,-31.7158546448,20260521_174947_sweep0120_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078373917606505,5141.06554889679
124,2026-05-21T17:52:46,42.84969639778137,5607837263.319885,-33.8840065002,20260521_175246_sweep0124_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837263319885,5312.414756059647
128,2026-05-21T17:55:44,42.84026956558228,5607837644.551109,-30.7704086304,20260521_175544_sweep0128_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837644551109,5483.793834924698
132,2026-05-21T17:58:43,42.86528944969177,5607835882.543321,-29.8169841766,20260521_175843_sweep0132_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835882543321,5655.218972682953
136,2026-05-21T18:01:42,42.84777212142944,5607835579.863733,-30.0621032715,20260521_180142_sweep0136_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835579863734,5826.703770399094
140,2026-05-21T18:04:40,42.85152006149292,5607834939.666091,-28.3799705505,20260521_180440_sweep0140_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834939666091,5998.1127598285675
144,2026-05-21T18:07:39,42.84747695922852,5607838494.138721,-27.3728027344,20260521_180739_sweep0144_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838494138721,6169.567997217178
148,2026-05-21T18:10:38,42.91883492469788,5607833871.354625,-29.3732852936,20260521_181038_sweep0148_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607833871354625,6341.058345794678
152,2026-05-21T18:13:37,42.88197183609009,5607835882.543321,-27.2221260071,20260521_181337_sweep0152_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835882543321,6512.5796756744385
156,2026-05-21T18:16:36,42.847935914993286,5607835579.863733,-26.7737464905,20260521_181636_sweep0156_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835579863734,6684.051986694336
160,2026-05-21T18:19:34,42.84775924682617,5607834771.417103,-24.9970397949,20260521_181934_sweep0160_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834771417103,6855.484227180481
164,2026-05-21T18:22:33,42.85249018669128,5607838014.656525,-25.1998806,20260521_182233_sweep0164_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838014656525,7026.917111158371
168,2026-05-21T18:25:31,42.866631746292114,5607837644.551109,-24.8281345367,20260521_182531_sweep0168_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837644551109,7198.359512805939
172,2026-05-21T18:28:30,42.860182762146,5607831921.395211,-23.7631340027,20260521_182830_sweep0172_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607831921395211,7369.843764066696
176,2026-05-21T18:31:29,42.88724136352539,5607836458.6361065,-24.0839939117,20260521_183129_sweep0176_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836458636107,7541.371164798737
180,2026-05-21T18:34:27,42.87744855880737,5607831409.686417,-24.2535057068,20260521_183427_sweep0180_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607831409686416,7712.778665781021
184,2026-05-21T18:37:27,42.99435043334961,5607829630.1801,-24.2434005737,20260521_183727_sweep0184_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607829630180101,7884.427436351776
188,2026-05-21T18:40:26,43.01359272003174,5607829289.791883,-25.8599052429,20260521_184026_sweep0188_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078292897918836,8056.448835849762
192,2026-05-21T18:43:25,43.06084656715393,5607833066.354333,-24.2807483673,20260521_184325_sweep0192_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607833066354333,8228.660630226135
196,2026-05-21T18:46:25,43.05785918235779,5607828934.290472,-24.2976264954,20260521_184625_sweep0196_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607828934290472,8400.822499752045
200,2026-05-21T18:49:24,43.07957315444946,5607829630.1801,-24.4205284119,20260521_184924_sweep0200_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607829630180101,8573.047604322433
204,2026-05-21T18:52:23,43.00681042671204,5607834059.94303,-25.6930484772,20260521_185223_sweep0204_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078340599430305,8745.189121961594
208,2026-05-21T18:55:22,43.02147054672241,5607833871.354625,-25.5020561218,20260521_185522_sweep0208_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607833871354625,8917.327237844467
212,2026-05-21T18:58:22,43.05450487136841,5607834771.417103,-24.470949173,20260521_185822_sweep0212_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834771417103,9089.579192399979
216,2026-05-21T19:01:21,43.01877641677856,5607829956.543883,-25.367269516,20260521_190121_sweep0216_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607829956543883,9261.754462718964
220,2026-05-21T19:04:20,43.02267146110535,5607838494.138721,-25.2551250458,20260521_190420_sweep0220_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838494138721,9433.958741426468
224,2026-05-21T19:07:21,43.00971341133118,5607830269.871841,-25.3017082214,20260521_190721_sweep0224_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607830269871841,9606.192113161087
228,2026-05-21T19:10:20,43.03553366661072,5607834059.94303,-23.8772201538,20260521_191020_sweep0228_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078340599430305,9778.315709114075
232,2026-05-21T19:13:19,43.081963539123535,5607833479.563828,-25.2794017792,20260521_191319_sweep0232_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607833479563828,9950.540658950806
236,2026-05-21T19:16:19,43.048818826675415,5607834059.94303,-26.8805561066,20260521_191619_sweep0236_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078340599430305,10122.755024194717
240,2026-05-21T19:19:18,43.058600425720215,5607836868.818117,-25.1447868347,20260521_191918_sweep0240_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836868818117,10294.998488903046
244,2026-05-21T19:22:18,43.054871559143066,5607830571.063761,-26.7916469574,20260521_192218_sweep0244_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607830571063761,10467.268565893173
248,2026-05-21T19:25:17,43.0813672542572,5607838256.174154,-25.2969608307,20260521_192517_sweep0248_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838256174154,10639.538522720337
252,2026-05-21T19:28:17,43.11322832107544,5607827764.426937,-24.2509231567,20260521_192817_sweep0252_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607827764426937,10811.85296034813
256,2026-05-21T19:31:16,43.086963415145874,5607834423.795236,-23.7238502502,20260521_193116_sweep0256_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834423795236,10984.132784843445
260,2026-05-21T19:34:16,43.0360791683197,5607835265.983656,-26.1554813385,20260521_193416_sweep0260_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835265983656,11156.420089006424
264,2026-05-21T19:37:16,42.62213897705078,5607836733.960827,-24.7756710052,20260521_193716_sweep0264_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836733960827,11328.317214250565
268,2026-05-21T19:40:15,43.11363744735718,5607838135.891843,-24.6103668213,20260521_194015_sweep0268_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838135891843,11500.755433559418
272,2026-05-21T19:43:15,43.12617301940918,5607834939.666091,-25.9647483826,20260521_194315_sweep0272_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834939666091,11673.150111198425
276,2026-05-21T19:46:15,43.10405588150024,5607834771.417103,-27.2891597748,20260521_194615_sweep0276_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834771417103,11845.549216747284
280,2026-05-21T19:49:15,43.09541201591492,5607835265.983656,-24.4643344879,20260521_194915_sweep0280_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835265983656,12017.867329835892
284,2026-05-21T19:52:15,43.140748023986816,5607827335.076366,-26.1767978668,20260521_195215_sweep0284_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607827335076366,12190.366704463959
288,2026-05-21T19:55:15,43.0902111530304,5607837391.760651,-24.4954986572,20260521_195515_sweep0288_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078373917606505,12362.796408891678
292,2026-05-21T19:58:14,43.11491847038269,5607830571.063761,-24.9609622955,20260521_195814_sweep0292_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607830571063761,12535.192664384842
296,2026-05-21T20:01:13,43.12937927246094,5607837892.40111,-24.7656745911,20260521_200113_sweep0296_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607837892401109,12707.040935993195
300,2026-05-21T20:04:13,43.12533402442932,5607842185.343475,-25.6050415039,20260521_200413_sweep0300_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078421853434754,12879.445130109787
304,2026-05-21T20:07:13,43.0749146938324,5607835882.543321,-26.4105739594,20260521_200713_sweep0304_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835882543321,13051.377527713776
308,2026-05-21T20:10:12,43.13357472419739,5607838729.051413,-24.7062911987,20260521_201012_sweep0308_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838729051412,13223.92736196518
312,2026-05-21T20:13:12,43.12311887741089,5607836868.818117,-26.0750827789,20260521_201312_sweep0312_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836868818117,13396.404034852982
316,2026-05-21T20:16:12,43.132413148880005,5607840893.933108,-25.4262523651,20260521_201612_sweep0316_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607840893933108,13568.875163316727
320,2026-05-21T20:19:11,42.5778534412384,5607831140.252195,-24.7377567291,20260521_201911_sweep0320_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607831140252196,13740.221752882004
324,2026-05-21T20:22:10,42.59346342086792,5607841123.262899,-23.5889034271,20260521_202210_sweep0324_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607841123262899,13912.16941022873
328,2026-05-21T20:25:10,43.12760210037232,5607838494.138721,-23.2843151093,20260521_202510_sweep0328_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607838494138721,14084.703565120697
332,2026-05-21T20:28:11,43.17796492576599,5607840779.842008,-24.0685195923,20260521_202811_sweep0332_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607840779842007,14257.240687131882
336,2026-05-21T20:31:11,42.652911901474,5607834771.417103,-24.4118804932,20260521_203111_sweep0336_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834771417103,14429.378665447235
340,2026-05-21T20:34:09,43.13183689117432,5607840326.064802,-23.7151641846,20260521_203409_sweep0340_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607840326064802,14600.942935943604
344,2026-05-21T20:37:08,43.13660740852356,5607840552.540757,-24.8069324493,20260521_203708_sweep0344_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078405525407575,14773.031167507172
348,2026-05-21T20:40:07,43.17611598968506,5607834599.526867,-24.6025981903,20260521_204007_sweep0348_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607834599526867,14944.573908567429
352,2026-05-21T20:43:07,43.17579221725464,5607839076.737101,-26.0132236481,20260521_204307_sweep0352_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078390767371005,15116.73731303215
356,2026-05-21T20:46:06,43.18577480316162,5607836597.2672,-24.524433136,20260521_204606_sweep0356_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607836597267201,15289.31494140625
360,2026-05-21T20:49:05,42.7035129070282,5607835732.5314245,-25.2807369232,20260521_204905_sweep0360_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.6078357325314245,15460.433150053024
364,2026-05-21T20:52:05,43.19155550003052,5607835265.983656,-25.9979343414,20260521_205205_sweep0364_5p607840GHz_-80p0dBm_200avgs_201points,-80,5.607835265983656,15633.182482719421
