sweep_index,timestamp_start,elapsed_s,f_min_Hz,s21_min_dB,filename,power_dBm,f_min_GHz,time_s
2,2026-05-21T16:21:56,42.81914973258972,5607839986.99326,-32.0615158081,20260521_162156_sweep0002_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,85.67649459838867
6,2026-05-21T16:24:54,42.82001686096192,5607839760.774392,-31.9953937531,20260521_162454_sweep0006_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839760774392,256.93952679634094
10,2026-05-21T16:27:53,42.80616641044617,5607839986.99326,-32.0606803894,20260521_162753_sweep0010_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,428.2452926635742
14,2026-05-21T16:30:51,42.83789682388306,5607839986.99326,-32.0723152161,20260521_163051_sweep0014_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,599.644677400589
18,2026-05-21T16:33:50,42.82215619087219,5607839986.99326,-32.0955886841,20260521_163350_sweep0018_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,770.9532420635223
22,2026-05-21T16:36:49,42.85831904411316,5607839986.99326,-32.1038665771,20260521_163649_sweep0022_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,942.3396546840668
26,2026-05-21T16:39:47,42.8048791885376,5607839986.99326,-32.0123062134,20260521_163947_sweep0026_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,1113.572813987732
30,2026-05-21T16:42:46,42.8297917842865,5607839986.99326,-32.0238990784,20260521_164246_sweep0030_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,1284.9227151870728
34,2026-05-21T16:45:45,42.82692885398865,5607839986.99326,-31.9793338776,20260521_164545_sweep0034_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,1456.3782527446747
38,2026-05-21T16:48:43,42.85516667366028,5607839986.99326,-32.0329666138,20260521_164843_sweep0038_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,1627.7872536182404
42,2026-05-21T16:51:42,42.82411289215088,5607840213.00674,-32.1070632935,20260521_165142_sweep0042_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.60784021300674,1799.1231820583344
46,2026-05-21T16:54:41,42.82851457595825,5607839986.99326,-32.0452919006,20260521_165441_sweep0046_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,1970.575684785843
50,2026-05-21T16:57:39,42.82524490356445,5607839986.99326,-32.0822677612,20260521_165739_sweep0050_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,2141.9574353694916
54,2026-05-21T17:00:38,42.8212571144104,5607839986.99326,-31.9758892059,20260521_170038_sweep0054_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,2313.251770734787
58,2026-05-21T17:03:37,42.823912382125854,5607839986.99326,-31.9934654236,20260521_170337_sweep0058_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,2484.5817234516144
62,2026-05-21T17:06:36,42.84633302688599,5607839986.99326,-32.0384712219,20260521_170636_sweep0062_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,2655.9442250728607
66,2026-05-21T17:09:34,42.849165201187134,5607839986.99326,-32.0157356262,20260521_170934_sweep0066_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839986993261,2827.3204703330994
70,2026-05-21T17:12:33,42.82776737213135,5607839760.774392,-32.0280075073,20260521_171233_sweep0070_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839760774392,2998.662169456482
74,2026-05-21T17:15:32,42.834434032440186,5607839760.774392,-32.1137046814,20260521_171532_sweep0074_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839760774392,3169.9935195446014
78,2026-05-21T17:18:30,42.829569578170776,5607839760.774392,-32.0084762573,20260521_171830_sweep0078_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839760774392,3341.316611766815
82,2026-05-21T17:21:29,42.83859920501709,5607839760.774392,-32.0510215759,20260521_172129_sweep0082_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839760774392,3512.7157909870148
86,2026-05-21T17:24:27,42.82789039611816,5607839533.937863,-32.0052108765,20260521_172427_sweep0086_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839533937863,3684.100047826767
90,2026-05-21T17:27:26,42.88010692596436,5607839533.937863,-31.9890155792,20260521_172726_sweep0090_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839533937863,3855.526647090912
94,2026-05-21T17:30:25,42.857828855514526,5607839533.937863,-31.9879932404,20260521_173025_sweep0094_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607839533937863,4026.9045226573944
98,2026-05-21T17:33:24,42.82624840736389,5607839306.066891,-31.9592285156,20260521_173324_sweep0098_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.60783930606689,4198.282266378403
102,2026-05-21T17:36:22,42.82964158058167,5607839306.066891,-31.8501758575,20260521_173622_sweep0102_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.60783930606689,4369.598415374756
106,2026-05-21T17:39:21,42.8396098613739,5607839076.737101,-31.8926734924,20260521_173921_sweep0106_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078390767371005,4540.990247249603
110,2026-05-21T17:42:20,42.88285279273987,5607838611.946204,-31.8779506683,20260521_174220_sweep0110_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607838611946204,4712.450963497162
114,2026-05-21T17:45:19,42.84466075897217,5607838375.56864,-31.7303905487,20260521_174519_sweep0114_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607838375568639,4883.879446268082
118,2026-05-21T17:48:18,42.84994959831238,5607838135.891843,-31.680770874,20260521_174818_sweep0118_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607838135891843,5055.3118007183075
122,2026-05-21T17:51:16,42.83033609390259,5607837644.551109,-31.5960273743,20260521_175116_sweep0122_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607837644551109,5226.722670793533
126,2026-05-21T17:54:15,42.841307401657104,5607837391.760651,-31.4223823547,20260521_175415_sweep0126_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078373917606505,5398.082478761673
130,2026-05-21T17:57:14,42.86435341835022,5607836868.818117,-31.2151527405,20260521_175714_sweep0130_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607836868818117,5569.505489587784
134,2026-05-21T18:00:12,42.862085580825806,5607836317.961746,-31.1470432281,20260521_180012_sweep0134_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078363179617465,5740.944643974304
138,2026-05-21T18:03:11,42.83650016784668,5607836030.0345,-30.8525390625,20260521_180311_sweep0138_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078360300345,5912.374271869659
142,2026-05-21T18:06:10,42.8609344959259,5607835732.5314245,-30.8174190521,20260521_180610_sweep0142_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078357325314245,6083.858520269394
146,2026-05-21T18:09:09,42.85108685493469,5607835424.397883,-30.5368099213,20260521_180909_sweep0146_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607835424397884,6255.2817187309265
150,2026-05-21T18:12:07,42.90164566040039,5607835104.462348,-30.184047699,20260521_181207_sweep0150_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607835104462348,6426.835165500641
154,2026-05-21T18:15:06,42.878612756729126,5607834771.417103,-30.2123584747,20260521_181506_sweep0154_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607834771417103,6598.329442024231
158,2026-05-21T18:18:05,42.85479927062988,5607834771.417103,-29.9166622162,20260521_181805_sweep0158_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607834771417103,6769.762624263763
162,2026-05-21T18:21:03,42.867021322250366,5607834423.795236,-29.3304290771,20260521_182103_sweep0162_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607834423795236,6941.221425294876
166,2026-05-21T18:24:02,42.8561065196991,5607834059.94303,-28.7020797729,20260521_182402_sweep0166_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078340599430305,7112.619584321976
170,2026-05-21T18:27:01,42.92437124252319,5607833677.986646,-28.2653427124,20260521_182701_sweep0170_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833677986646,7284.140887022018
174,2026-05-21T18:29:59,42.85529804229736,5607833275.79161,-27.935049057,20260521_182959_sweep0174_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833275791609,7455.589750051498
178,2026-05-21T18:32:58,42.8480908870697,5607833677.986646,-27.8223457336,20260521_183258_sweep0178_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833677986646,7627.065984249115
182,2026-05-21T18:35:57,42.84641170501709,5607833275.79161,-27.9564914703,20260521_183557_sweep0182_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833275791609,7798.477539300919
186,2026-05-21T18:38:56,43.01522946357727,5607832850.913247,-28.106344223,20260521_183856_sweep0186_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607832850913247,7970.4368851184845
190,2026-05-21T18:41:55,43.01954984664917,5607832850.913247,-28.3804664612,20260521_184155_sweep0190_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607832850913247,8142.537154912949
194,2026-05-21T18:44:55,43.03325080871582,5607832850.913247,-28.2770080566,20260521_184455_sweep0194_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607832850913247,8314.730360269547
198,2026-05-21T18:47:54,43.06025052070618,5607833275.79161,-28.2915172577,20260521_184754_sweep0198_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833275791609,8486.907889842987
202,2026-05-21T18:50:53,43.01897668838501,5607834059.94303,-28.3506240845,20260521_185053_sweep0202_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078340599430305,8659.116019010544
206,2026-05-21T18:53:53,43.04362368583679,5607833677.986646,-28.2455711365,20260521_185353_sweep0206_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833677986646,8831.241787433624
210,2026-05-21T18:56:52,43.0697922706604,5607835424.397883,-28.488407135,20260521_185652_sweep0210_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607835424397884,9003.48781490326
214,2026-05-21T18:59:51,43.02755904197693,5607834059.94303,-28.3793525696,20260521_185951_sweep0214_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078340599430305,9175.668635845184
218,2026-05-21T19:02:51,43.07072973251343,5607834423.795236,-28.1839313507,20260521_190251_sweep0218_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607834423795236,9347.874555110931
222,2026-05-21T19:05:50,43.06609725952149,5607834423.795236,-28.4059715271,20260521_190550_sweep0222_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607834423795236,9520.103626012802
226,2026-05-21T19:08:50,42.99968791007996,5607834423.795236,-28.2859115601,20260521_190850_sweep0226_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607834423795236,9692.254943847656
230,2026-05-21T19:11:50,43.05085849761963,5607833275.79161,-28.2093162537,20260521_191150_sweep0230_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833275791609,9864.416975975037
234,2026-05-21T19:14:49,43.046104192733765,5607832850.913247,-28.4243965149,20260521_191449_sweep0234_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607832850913247,10036.647472858429
238,2026-05-21T19:17:48,43.087098121643066,5607833677.986646,-28.2753257751,20260521_191748_sweep0238_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.607833677986646,10208.876170158386
242,2026-05-21T19:20:48,43.071768045425415,5607834059.94303,-28.3810462952,20260521_192048_sweep0242_5p607840GHz_-40p0dBm_200avgs_201points,-40,5.6078340599430305,10381.13847732544
