sweep_index,timestamp_start,elapsed_s,f_min_Hz,s21_min_dB,filename,power_dBm,f_min_GHz,time_s
3,2026-05-21T16:22:40,42.82127261161804,5607839533.937863,-29.6093502045,20260521_162240_sweep0003_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839533937863,128.4977672100067
7,2026-05-21T16:25:39,42.83952474594116,5607839760.774392,-29.5154838562,20260521_162539_sweep0007_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839760774392,299.7790515422821
11,2026-05-21T16:28:37,42.823840618133545,5607840100.0,-29.7829589844,20260521_162837_sweep0011_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078401,471.06913328170776
15,2026-05-21T16:31:36,42.81222081184387,5607839986.99326,-29.6285247803,20260521_163136_sweep0015_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839986993261,642.4568982124329
19,2026-05-21T16:34:35,42.85330438613892,5607840439.225608,-30.0889625549,20260521_163435_sweep0019_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607840439225608,813.8065464496613
23,2026-05-21T16:37:33,42.8109085559845,5607839986.99326,-29.6830539703,20260521_163733_sweep0023_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839986993261,985.1505632400513
27,2026-05-21T16:40:32,42.863428592681885,5607840213.00674,-30.1297626495,20260521_164032_sweep0027_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.60784021300674,1156.4362425804138
31,2026-05-21T16:43:31,42.862696170806885,5607840213.00674,-29.9085617065,20260521_164331_sweep0031_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.60784021300674,1327.7854113578796
35,2026-05-21T16:46:29,42.860496520996094,5607839760.774392,-30.2600002289,20260521_164629_sweep0035_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839760774392,1499.2387492656708
39,2026-05-21T16:49:28,42.85941004753113,5607840326.064802,-29.5980854034,20260521_164928_sweep0039_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607840326064802,1670.6466636657715
43,2026-05-21T16:52:27,42.86554336547852,5607839986.99326,-30.0746669769,20260521_165227_sweep0043_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839986993261,1841.9887254238129
47,2026-05-21T16:55:25,42.82621741294861,5607840439.225608,-29.7466907501,20260521_165525_sweep0047_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607840439225608,2013.4019021987915
51,2026-05-21T16:58:24,42.82094979286194,5607839760.774392,-29.4415206909,20260521_165824_sweep0051_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839760774392,2184.7783851623535
55,2026-05-21T17:01:23,42.82768392562866,5607840100.0,-29.570514679,20260521_170123_sweep0055_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.6078401,2356.0794546604156
59,2026-05-21T17:04:22,42.86032819747925,5607839986.99326,-29.6629962921,20260521_170422_sweep0059_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839986993261,2527.4420516490936
63,2026-05-21T17:07:20,42.85074853897095,5607839986.99326,-29.4636821747,20260521_170720_sweep0063_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839986993261,2698.7949736118317
67,2026-05-21T17:10:19,42.86648082733154,5607840326.064802,-29.4362754822,20260521_171019_sweep0067_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607840326064802,2870.186951160431
71,2026-05-21T17:13:18,42.83358001708984,5607839760.774392,-29.4243297577,20260521_171318_sweep0071_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839760774392,3041.495749473572
75,2026-05-21T17:16:16,42.83535265922546,5607839760.774392,-29.3651638031,20260521_171616_sweep0075_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839760774392,3212.828872203827
79,2026-05-21T17:19:15,42.82962441444397,5607839420.157991,-29.4905128479,20260521_171915_sweep0079_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839420157991,3384.146236181259
83,2026-05-21T17:22:13,42.850667238235474,5607839986.99326,-29.2902698517,20260521_172213_sweep0083_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839986993261,3555.5664582252502
87,2026-05-21T17:25:12,42.8356990814209,5607839420.157991,-29.2095012665,20260521_172512_sweep0087_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839420157991,3726.935746908188
91,2026-05-21T17:28:11,42.83918523788452,5607839986.99326,-29.2185745239,20260521_172811_sweep0091_5p607840GHz_-60p0dBm_200avgs_201points,-60,5.607839986993261,3898.3658323287964
